Customer Identity,Customer Monetary Value
63e66a63ad5b62edc3e02daf,380.97
63e66a63765f984b78239510,-131.13
63e66a63caa58fdf0cca0be0,504.67
63e66a63368495955fa2257b,-16.99
63e66a63c0f41533bf49d033,35.23
63e66a638f561160ec5c4e65,-24.33
63e66a63c521079369101c03,-66.01
63e66a6324afb82d75eda651,-144.91
63e66a63c072ea0d542e5fc0,356.53
63e66a63da577816791dc08c,-119.35
63e66a6302bfc1f4ca575bbb,290.17
63e66a63d03626bd27f6a486,405.74
63e66a6380bb1ef2a42a2a59,2.34
63e66a6395b9e2a00e801970,-75.12
63e66a63c8278f5d887925c7,-89.0
63e66a63e14bcfba3ba74648,290.06
63e66a63d978cfa273319e39,100.58
63e66a639ac2810c75c6cdf2,78.91
63e66a63d2212ac0d6c856b3,230.38
63e66a63ec71eab1a0f81de0,352.96
63e66a630621b34c6d78e37a,373.73
63e66a6388a91c8db8e3e415,111.37
63e66a63e42a6ff36511be6d,-89.79
63e66a639bccb09c71962e56,290.05
63e66a63303ac90548155f57,108.13
63e66a63c8595a670abebad0,376.3
63e66a6393f4b848839ff800,430.86
63e66a63153cebb06de587f6,-7.22
63e66a63e33fa5505802231b,264.17
63e66a6338235d1e01c7f34b,2.0
63e66a63747fe72d9e063e58,427.76
63e66a636e484546e06ffb58,240.16
63e66a63fde7e158e322770a,-2.44
63e66a63f444e7aaf0c9fec7,-5.55
63e66a63fb0169f73a0ac7d8,336.07
63e66a63055b3e425d83b5ef,53.8
63e66a6332c3eb89aedc1a90,7.24
63e66a63a8dbd5b8ce57c074,-31.78
63e66a63869dc930ab9057ad,-14.22
63e66a63ae382daf094a589d,-1.55
63e66a63f46e288333fc94ea,121.36
63e66a63e7fe436f463cfe35,402.63
63e66a63887796d4f009ca62,710.8
63e66a63ea8b4c51562ed8f7,-77.01
63e66a639c6f1a93f18e50ce,-128.68
63e66a63818b14ec729c2f79,624.34
63e66a63c1e68739d78ad8e5,-94.9
63e66a635270149070c666e0,279.28
63e66a63ae3ad676046c33d9,-132.88
63e66a63c17a376f6e312942,-21.11
63e66a630191f38659aee13c,420.64
63e66a63fe7db3db6548ab25,-14714.08
63e66a6339e7536283d3c363,-104.21
63e66a639c5487481f26eaee,-11.33
63e66a63d071aca46da8f6e5,264.5
63e66a6347629b1b48db4eea,-15.22
63e66a639b082de43fdc3888,540.55
63e66a63b5a14c6f762d4fc9,294.94
63e66a6362fe8ee183b1b51f,448.98
63e66a6396bba9c9b1551245,120.48
63e66a63d1720195b6f18366,226.93
63e66a63d0f55cabf0b3d8ab,224.5
63e66a633df179931cda0061,-67.32
63e66a63d88b23458a7a5fa1,314.51
63e66a63866a66d0d10a4d2d,-124.32
63e66a638601c83fc51775dd,132.27
63e66a63b312fb10a7d1937a,-25.0
63e66a63371ae28fe1d1b9ea,-90.01
63e66a63a80347f345406617,476.65
63e66a63184e513e3c415618,316.98
63e66a63076a014ed5b7b8ad,83.9
63e66a63d0d978489dd5b9e8,195.82
63e66a63f23c6e91d03155f9,-25.0
63e66a631a80c63ea21b9bec,272.61
63e66a6393c71630a450a36e,-25.0
63e66a638c2f722e64a23d8b,234.83
63e66a63f79266a2391b3a1d,747.03
63e66a63191075769ce65c46,74.45
63e66a63bba0001d86ed8b83,-50.31
63e66a639b432b9ea84c3a5a,
63e66a63b7910a3fc3b7cfa2,14.34
63e66a63187f28aa9b4ae56a,274.19
63e66a6324120d9a46623c5c,308.31
63e66a63ff9bdc239f4aebbb,423.53
63e66a63ef2db060436e66f9,-47.67
63e66a63b59e6e0cc6e5bde9,317.83
63e66a6349c2f95e84ff01a3,-19.22
63e66a6373acd33ae6948800,-46.0
63e66a63e256123763d8f8b0,-139.11
63e66a637a41fbf0f20a0318,-54.56
63e66a630613c46dd00a3447,402.18
63e66a636a566f2b1cf9d241,238.94
63e66a635662a7efcc7d8257,-66.12
63e66a6379f898f910cc296e,400.86
63e66a630f90a109dd4d0a18,174.37
63e66a6382c34e63b61b3f31,-25.0
63e66a638094a300a55cf62d,-91.0
63e66a63832a7523578ae361,120.47
63e66a636127b1eae7376d8d,179.26
63e66a636127b1eae7376d8d,179.26
63e66a632e164a01b0495eff,14.23
